City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,yeppoon,-23.1333,150.7333,23.43,74,7,4.87,AU,1729891712
167,papatowai,-46.5619,169.4708,6.51,83,100,5.06,NZ,1729891713
168,westport,41.1415,-73.3579,16.26,51,0,4.63,US,1729891426
169,vila franca do campo,37.7167,-25.4333,18.27,99,35,2.67,PT,1729891716
170,stephenville,32.2207,-98.2023,30.07,39,0,4.12,US,1729891717
171,east london,-33.0153,27.9116,16.16,74,65,5.74,ZA,1729891718
172,port saint john's,-31.6229,29.5448,17.84,71,93,4.63,ZA,1729891719
173,ataq,14.5377,46.8319,22.49,78,52,5.81,YE,1729891720
174,carnarvon,-24.8667,113.6333,18.53,68,0,10.72,AU,1729891721
175,minas de marcona,-15.2119,-75.1103,17.61,63,3,8.31,PE,1729891722
176,klyuchi,52.2667,79.1667,7.23,69,100,2.74,RU,1729891723
177,araguaina,-7.1911,-48.2072,33.69,33,75,1.61,BR,1729891693
178,paranhos,-23.8928,-55.4311,30.74,36,0,0.24,BR,1729891726
179,waddan,29.1614,16.139,20.58,39,38,4.42,LY,1729891727
180,saipan,15.1355,145.701,25.39,94,100,6.17,MP,1729891728
181,tanjung pandan,-2.75,107.65,26.27,84,100,2.9,ID,1729891729
182,lewiston orchards,46.3804,-116.9754,17.5,42,0,3.09,US,1729891730
183,verkhniye sergi,56.6469,59.5556,2.66,94,100,1.52,RU,1729891731
184,uturoa,-16.7333,-151.4333,25.81,76,99,11.27,PF,1729891732
185,qaqortoq,60.7167,-46.0333,-1.2,70,0,8.45,GL,1729891733
186,tazacorte,28.629,-17.9293,20.54,89,0,5.14,ES,1729891735
187,raduzhny,62.0961,77.475,0.99,100,100,0.85,RU,1729891736
188,hilo,19.7297,-155.09,25.85,92,100,3.13,US,1729891737
189,puerto baquerizo moreno,-0.9,-89.6,21.55,83,100,6.17,EC,1729891738
190,sitka,57.0531,-135.33,8.94,53,100,4.12,US,1729891739
191,marsh harbour,26.5412,-77.0636,25.49,72,5,6.52,BS,1729891740
192,chonchi,-42.6128,-73.8092,12.84,59,86,1.83,CL,1729891741
193,petrosino,37.7077,12.4999,20.52,82,100,5.86,IT,1729891742
194,indija,20.0,77.0,21.29,80,71,3.7,IN,1729891744
195,vorgashor,67.5833,63.95,-10.2,96,24,1.03,RU,1729891745
196,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,55,0,3.0,RU,1729891746
197,vilyuchinsk,52.9306,158.4028,2.15,78,9,3.54,RU,1729891747
198,brisas de zicatela,15.8369,-97.0419,31.29,74,20,1.54,MX,1729891748
199,pucheng,27.9233,118.5333,17.46,92,97,1.4,CN,1729891749
200,kerikeri,-35.2268,173.9474,19.39,92,100,5.81,NZ,1729891750
201,wakkanai,45.4094,141.6739,10.95,47,14,10.62,JP,1729891751
202,ilulissat,69.2167,-51.1,-0.99,64,75,6.69,GL,1729891752
203,carutapera,-1.195,-46.02,27.02,77,75,3.92,BR,1729891754
204,itoman,26.1247,127.6694,28.21,78,75,5.66,JP,1729891755
205,ullal,12.8,74.85,24.53,88,20,2.06,IN,1729891756
206,crane,31.3974,-102.3501,26.19,27,5,4.2,US,1729891757
207,nantucket,41.2835,-70.0995,13.06,58,0,3.09,US,1729891758
208,guerrero negro,27.9769,-114.0611,24.37,44,6,6.0,MX,1729891759
209,kingston,17.997,-76.7936,28.53,84,75,5.66,JM,1729891760
210,pisco,-13.7,-76.2167,22.03,64,0,2.57,PE,1729891761
211,demopolis,32.5176,-87.8364,30.97,30,0,1.54,US,1729891755
212,acapulco de juarez,16.8634,-99.8901,30.9,74,40,3.6,MX,1729891577
213,hami,42.8,93.45,9.88,42,0,1.06,CN,1729891718
214,yuzhno-kurilsk,44.0306,145.8556,10.79,88,3,1.69,RU,1729891768
215,santa sylvina,-27.8326,-61.1375,26.14,38,2,9.5,AR,1729891769
216,flin flon,54.7682,-101.865,6.91,53,20,5.14,CA,1729891734
217,belousovka,50.1339,82.5239,6.47,81,100,2.0,KZ,1729891771
218,hamilton,39.1834,-84.5333,18.69,76,100,4.63,US,1729891691
219,ust-nera,64.5667,143.2,-13.86,97,100,2.88,RU,1729891774
220,rosarito,32.3333,-117.0333,22.51,65,7,2.38,MX,1729891775
221,freetown,8.484,-13.2299,22.84,94,75,4.12,SL,1729891776
222,lanxi,29.2195,119.477,17.52,95,100,0.44,CN,1729891777
223,santa ana,33.7456,-117.8678,28.29,51,20,2.57,US,1729891779
224,rabaul,-4.1967,152.1721,27.6,78,95,0.91,PG,1729891780
225,selfoss,63.9331,-20.9971,2.8,71,95,10.78,IS,1729891781
226,cabedelo,-6.9811,-34.8339,26.37,75,66,4.24,BR,1729891783
227,inhambane,-23.865,35.3833,23.52,92,0,2.79,MZ,1729891784
228,cabo san lucas,22.8909,-109.9124,31.53,53,0,4.12,MX,1729891697
229,san pedro pochutla,15.7333,-96.4667,32.06,69,25,2.53,MX,1729891786
230,saacow,1.6279,42.4407,25.73,68,92,4.88,SO,1729891787
231,patrocinio,-18.9439,-46.9925,23.06,77,99,2.53,BR,1729891788
232,merchtem,50.9572,4.2303,13.8,97,0,1.03,BE,1729891789
233,aoulef,26.9667,1.0833,24.93,33,0,4.2,DZ,1729891790
234,rustam,27.969,68.8048,28.82,21,0,1.52,PK,1729891791
235,padang,-0.9492,100.3543,25.03,87,100,2.17,ID,1729891793
236,grybow,49.6244,20.948,10.25,70,4,2.41,PL,1729891794
237,queenstown,-31.8976,26.8753,11.38,80,9,1.73,ZA,1729891511
238,sinabang,2.4803,96.3801,25.79,81,98,1.94,ID,1729891797
239,la'ie,21.6477,-157.9253,29.66,74,37,4.02,US,1729891798
240,cozumel,20.5083,-86.9458,30.04,74,75,5.14,MX,1729891799
241,porto velho,-8.7619,-63.9039,31.03,58,75,3.09,BR,1729891511
242,duong dong,10.2167,103.9667,28.0,89,20,2.57,VN,1729891801
243,tvoroyri,61.5556,-6.8111,8.81,79,100,13.76,FO,1729891803
244,timimoun,29.2639,0.231,22.21,37,0,2.06,DZ,1729891804
245,akrehamn,59.2667,5.1833,12.14,76,100,4.63,NO,1729891805
246,konongo,6.6167,-1.2167,23.31,97,100,1.02,GH,1729891806
247,sola,-13.8833,167.55,26.81,83,97,7.38,VU,1729891807
248,kelme,55.6339,22.9342,5.23,70,0,2.9,LT,1729891808
249,leava,-14.3,-178.1667,27.17,84,27,8.61,WF,1729891809
250,kargasok,59.0556,80.8572,3.44,95,100,2.76,RU,1729891811
251,dombarovskiy,50.7587,59.5386,5.82,67,100,2.78,RU,1729891727
252,oranjemund,-28.55,16.4333,13.35,94,71,5.4,NA,1729891814
253,lillesand,58.2488,8.3778,8.02,100,0,1.03,NO,1729891815
254,mahenge,-8.6833,36.7167,19.6,74,34,1.92,TZ,1729891816
255,hobyo,5.3505,48.5268,25.48,88,50,4.57,SO,1729891817
256,nuuk,64.1835,-51.7216,-0.66,86,100,5.66,GL,1729891818
257,tqvarch'eli,42.8404,41.6801,8.71,94,100,2.06,GE,1729891820
258,bozoum,6.3193,16.3799,20.92,94,98,0.95,CF,1729891821
259,vorkuta,67.5,64.0,-9.76,97,35,1.33,RU,1729891822
260,mitu,1.1983,-70.1733,28.5,65,100,0.73,CO,1729891823
261,shahpur,16.7,76.8333,21.05,69,30,3.29,IN,1729891824
262,atlantic beach,30.3344,-81.3987,28.36,64,20,4.12,US,1729891581
263,fort st. john,56.2499,-120.8529,4.94,45,20,2.06,CA,1729891805
264,raja,8.4596,25.678,22.05,92,100,0.67,SS,1729891827
265,iskateley,67.6803,53.1512,-0.83,80,39,3.13,RU,1729891671
266,sanctuary point,-35.1114,150.629,12.87,43,1,3.35,AU,1729891831
267,port blair,11.6667,92.75,25.02,94,40,1.03,IN,1729891832
268,ulundi,-28.3352,31.4162,17.18,89,100,2.06,ZA,1729891833
269,san luis de la loma,17.2706,-100.8939,29.15,75,24,1.4,MX,1729891834
270,bay city,43.5945,-83.8889,14.5,71,75,4.63,US,1729891835
271,betio village,1.358,172.9211,27.92,73,22,6.17,KI,1729891836
272,lubang,13.8584,120.124,28.43,77,99,9.24,PH,1729891837
273,prieska,-29.6641,22.7474,18.26,30,0,3.36,ZA,1729891839
274,ivdel',60.6911,60.4206,2.73,97,100,0.95,RU,1729891840
275,keflavik,64.0049,-22.5624,3.24,87,75,14.4,IS,1729891841
276,lihue,21.9789,-159.3672,26.77,76,100,3.6,US,1729891726
277,tharad,24.3961,71.6267,27.79,26,0,2.23,IN,1729891844
278,horta,38.5333,-28.6333,17.23,70,40,3.6,PT,1729891845
279,antsiranana,-12.2787,49.2917,24.24,82,7,5.95,MG,1729891846
280,margate,51.3813,1.3862,13.16,89,62,2.7,GB,1729891800
281,shivrajpur,22.4167,73.65,22.61,55,33,1.05,IN,1729891848
282,reshetylivka,49.565,34.0782,10.56,78,100,2.93,UA,1729891850
283,spanish wells,26.323,-81.7957,29.99,52,20,4.63,US,1729891851
284,sant lluis,39.8526,4.2594,19.22,94,20,2.57,ES,1729891852
285,kondrovo,54.8064,35.9278,2.4,86,14,0.11,RU,1729891853
286,villamontes,-21.25,-63.5,34.69,36,48,2.06,BO,1729891854
287,port lincoln,-34.7333,135.8667,16.21,67,100,5.65,AU,1729891855
288,alofi,-19.0595,-169.9187,24.71,80,86,9.03,NU,1729891856
289,cizre,37.3272,42.1903,11.56,32,0,0.0,TR,1729891858
290,berezovyy,51.6667,135.7,-2.93,62,1,3.15,RU,1729891859
291,sepuka,-4.75,34.5333,22.32,47,93,5.02,TZ,1729891860
292,new norfolk,-42.7826,147.0587,7.73,68,25,1.18,AU,1729891785
293,khovd,48.0056,91.6419,1.79,54,8,1.95,MN,1729891862
294,fortuna,40.5982,-124.1573,22.21,45,0,4.69,US,1729891863
295,vadso,70.0744,29.7487,8.09,66,0,11.83,NO,1729891852
296,arkhangel'sk,64.5401,40.5433,2.06,100,0,3.0,RU,1729891572
297,nouadhibou,20.931,-17.0347,24.99,53,100,4.12,MR,1729891866
298,aswan,24.0934,32.907,21.83,19,0,4.73,EG,1729891364
299,rio preto da eva,-2.6994,-59.6997,33.42,38,82,1.96,BR,1729891869
300,shimoda,34.6667,138.95,19.16,84,100,6.75,JP,1729891870
301,porto franco,-6.3383,-47.3992,32.75,36,69,1.42,BR,1729891871
302,eenhana,-17.4667,16.3333,24.88,13,88,3.28,NA,1729891872
303,paradip garh,20.3167,86.6167,23.24,93,100,4.71,IN,1729891873
304,quang ngai,15.1167,108.8,19.93,62,100,2.88,VN,1729891874
305,calderitas,18.55,-88.25,31.06,66,40,3.09,MX,1729891875
306,zaozersk,69.4005,32.4476,5.03,63,100,10.0,RU,1729891876
307,nar'yan-mar,67.6713,53.087,-0.83,80,37,3.16,RU,1729891751
308,sandnessjoen,66.0217,12.6316,7.06,70,75,5.14,NO,1729891853
309,grand falls-windsor,48.9332,-55.6649,4.72,93,100,3.58,CA,1729891880
310,swakopmund,-22.6833,14.5333,14.43,84,14,0.89,NA,1729891881
311,celestun,20.8667,-90.4,27.71,65,10,5.7,MX,1729891882
312,bhadra,29.1167,75.1667,24.18,25,0,1.55,IN,1729891883
313,kailua-kona,19.6406,-155.9956,30.15,75,20,4.63,US,1729891884
314,alaghsas,17.0187,8.0168,28.17,16,96,5.26,NE,1729891885
315,priozersk,61.0393,30.1291,10.61,82,91,5.44,RU,1729891887
316,bangassou,4.7413,22.8184,19.82,99,100,1.49,CF,1729891888
317,graham,47.0529,-122.2943,17.29,58,0,1.79,US,1729891890
318,sao tome,0.3365,6.7273,26.09,86,100,2.27,ST,1729891719
319,villa bruzual,9.3328,-69.1208,28.83,70,100,1.11,VE,1729891892
320,bridlington,54.0831,-0.1919,12.96,81,94,2.24,GB,1729891893
321,nemuro,43.3236,145.575,11.64,83,5,4.04,JP,1729891808
322,zeya,53.75,127.2667,-8.48,93,7,0.65,RU,1729891896
323,canton,23.1167,113.25,22.57,49,100,6.32,CN,1729891701
324,bata,1.8639,9.7658,25.6,87,83,1.88,GQ,1729891899
325,nova sintra,14.8667,-24.7167,27.33,76,100,6.7,CV,1729891706
326,walvis bay,-22.9575,14.5053,14.53,88,2,4.63,NA,1729891901
327,boradigah,38.9339,48.7038,11.45,66,16,2.1,AZ,1729891902
328,vernal,40.4555,-109.5287,15.84,29,0,2.06,US,1729891903
329,ishimbay,53.4545,56.0415,4.91,88,97,0.74,RU,1729891904
330,fort bragg,35.139,-79.006,25.75,34,0,3.6,US,1729891905
331,ocos,14.5094,-92.1933,29.03,74,5,2.7,GT,1729891906
332,tura,25.5198,90.2201,20.98,95,100,1.81,IN,1729891841
333,usogorsk,63.4106,48.6872,2.17,76,100,0.65,RU,1729891909
334,revda,56.801,59.9303,2.66,93,97,1.74,RU,1729891910
335,dahlonega,34.5326,-83.9849,25.03,54,3,2.21,US,1729891615
336,ilebo,-4.3167,20.5833,22.1,98,97,0.48,CD,1729891912
337,nguigmi,14.2495,13.1092,27.42,21,68,5.09,NE,1729891913
338,turkestan,43.3333,68.25,11.87,56,100,5.72,KZ,1729891914
339,puerto leguizamo,-0.1934,-74.7819,31.3,56,73,1.19,CO,1729891915
340,saldanha,-33.0117,17.9442,14.03,89,0,6.28,ZA,1729891916
341,choibalsan,48.0667,114.5,-0.21,42,100,2.27,MN,1729891698
342,arno,60.1167,18.6333,9.18,78,90,2.96,SE,1729891700
343,caxito,-8.5785,13.6643,24.19,81,98,2.27,AO,1729891920
344,arraial do cabo,-22.9661,-42.0278,26.98,74,40,2.57,BR,1729891853
345,nagqu,31.5,92.0,-4.29,42,0,1.61,CN,1729891922
346,vidyayevo,69.3191,32.8049,5.43,63,100,9.79,RU,1729891923
347,las lomitas,-24.7096,-60.593,30.39,28,12,2.05,AR,1729891991
348,vila velha,-20.3297,-40.2925,27.19,81,0,7.72,BR,1729891993
349,malvan,16.0667,73.4667,25.27,80,29,2.46,IN,1729891994
350,las palmas de gran canaria,28.0997,-15.4134,22.07,78,75,9.26,ES,1729891995
351,la ronge,55.1001,-105.2842,7.14,42,0,5.14,CA,1729891996
352,brookings,44.3114,-96.7984,12.36,45,0,4.63,US,1729891947
353,worland,44.0169,-107.9554,15.5,44,0,2.06,US,1729891998
354,okondja,-0.6549,13.6753,22.07,98,95,0.73,GA,1729891999
355,el rosario,24.2556,-107.1828,32.41,59,0,4.46,MX,1729891931
356,vriddhachalam,11.5,79.3333,25.66,83,59,2.38,IN,1729892001
357,saint-philippe,-21.3585,55.7679,23.07,87,99,5.41,RE,1729892002
358,jalai nur,49.45,117.7,-2.42,54,99,1.49,CN,1729892004
359,newala kisimani,-10.95,39.2833,19.02,92,51,2.81,TZ,1729892005
360,bikenibeu village,1.3673,173.1241,27.86,72,18,6.3,KI,1729892006
361,nadym,65.5333,72.5167,-5.04,95,91,3.61,RU,1729891997
362,port alberni,49.2413,-124.8028,9.96,82,100,0.45,CA,1729891961
363,bemidji,47.4736,-94.8803,12.32,34,0,10.29,US,1729891890
364,kuala belait,4.5833,114.1833,25.57,89,100,4.35,BN,1729892010
365,morwell,-38.2333,146.4,9.96,55,7,2.09,AU,1729892011
